iter	Passed	Remaining
0	1	145
1	2	138
2	4	139
3	5	128
4	6	125
5	7	122
6	9	120
7	10	118
8	11	116
9	12	114
10	14	113
11	15	112
12	16	110
13	18	111
14	19	110
15	20	108
16	21	106
17	23	105
18	24	104
19	25	102
20	26	101
21	28	99
22	29	98
23	30	96
24	31	95
25	33	94
26	34	92
27	35	91
28	36	90
29	38	88
30	39	87
31	40	86
32	41	84
33	42	83
34	44	82
35	45	80
36	47	80
37	49	80
38	50	79
39	51	77
40	53	76
41	53	74
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	64	62
51	66	61
52	69	61
53	71	61
54	73	60
55	75	59
56	77	58
57	79	57
58	80	56
59	81	54
60	83	53
61	84	51
62	85	50
63	86	48
64	88	47
65	89	45
66	90	44
67	91	43
68	92	41
69	94	40
70	95	38
71	96	37
72	97	36
73	99	34
74	100	33
75	101	32
76	102	30
77	103	29
78	105	27
79	106	26
80	107	25
81	109	23
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	125	9
93	126	8
94	128	6
95	129	5
96	130	4
97	131	2
98	133	1
99	134	0
